FRAGRANCE_KO,FRAGRANCE_EN,PARENT_PRAKRITI,PRAKRITI_COLOR,TAGLINE,DESCRIPTION,CANVA_KEYWORD
샌달우드,Sandalwood,VP,#C4917A,뜨거운 속열을 식히는 고요의 향,뜨거운 속열을 식히고 붕 뜬 마음을 가라앉혀 피부 장벽이 비로소 숨을 쉬게 합니다.,sandalwood incense watercolor
로즈,Rose,VP,#C4917A,지친 피부를 위로하는 사랑의 향,열기로 지친 피부를 식히고 사랑의 에너지로 잡티 위에 새 살결을 피워냅니다.,rose bloom watercolor minimal
라벤더,Lavender,V,#8C9BB8,예민한 신경을 어루만지는 휴식의 향,예민해진 신경을 어루만지고 깊은 휴식을 선물해 잠든 피부를 깨워줍니다.,lavender sprig watercolor gold
일랑일랑,Ylang Ylang,V,#8C9BB8,텅 빈 피부를 채우는 영양의 향,텅 빈 피부 속에 풍요로운 영양을 채우고 사라진 탄력을 다시 불러옵니다.,ylang ylang flower illustration
카모마일,Chamomile,VK,#9BA788,정체된 피부를 녹이는 위로의 향,정체된 피부에 부드러운 위로를 건네 막힌 순환의 길을 살며시 열어줍니다.,chamomile flower watercolor
시나몬,Cinnamon,VK,#9BA788,차가운 피부에 온기를 불어넣는 향,차갑게 굳은 피부에 따스한 온기를 불어넣어 영양이 비로소 스며들 길을 만듭니다.,cinnamon stick watercolor
진저,Ginger,VK,#9BA788,메마른 피부에 생기를 피우는 향,가뭄 든 피부에 생기의 불씨를 피워 메마른 잡티 밭에 새 생명을 깨웁니다.,ginger root botanical illustration
페퍼민트,Peppermint,P,#E8703A,타오르는 피부를 잠재우는 쿨링의 향,타오르는 피부 속 불길을 시원하게 잠재우고 멜라닌의 폭주를 멈춰 세웁니다.,peppermint leaf watercolor
유칼립투스,Eucalyptus,P,#E8703A,염증의 흔적을 맑게 식히는 향,훈장처럼 남은 염증의 흔적을 식히고 맑은 숨결로 피부를 다시 일으킵니다.,eucalyptus branch watercolor
네롤리,Neroli,PV,#D58068,곤두선 유분막을 진정시키는 향,예민하게 곤두선 유분막을 진정시키고 수분과 유분의 균형을 다시 잡아줍니다.,orange blossom neroli watercolor
티트리,Tea Tree,PK,#B5824F,독소의 정체를 정화하는 향,독소가 만든 염증을 정화하고 막힌 배출의 통로를 깨끗이 열어줍니다.,tea tree leaf minimal illustration
자몽,Grapefruit,K,#7F8F78,완벽한 피부 속 정체를 푸는 향,완벽해 보이는 피부 속 고인 정체를 풀고 산뜻한 에너지로 흐름을 되찾아줍니다.,grapefruit citrus watercolor
레몬그라스,Lemongrass,K,#7F8F78,잠긴 성벽을 여는 활력의 향,잠긴 성벽 같은 피부의 문을 열고 정체된 에너지에 활력의 바람을 불어넣습니다.,lemongrass botanical illustration
로즈마리,Rosemary,KP,#A08559,잠든 색소를 깨우는 순환의 향,두꺼운 피부 깊이 잠든 색소를 깨우고 강력한 순환으로 닫힌 결을 열어줍니다.,rosemary sprig watercolor
베르가못,Bergamot,KV,#8C98A0,갇힌 피지에 숨을 틔우는 향,모공 속 갇힌 피지에 길을 열어주고 피부 결 사이사이에 가벼운 숨을 불어넣습니다.,bergamot citrus watercolor
패츌리,Patchouli,KV,#8C98A0,탁한 안색 뒤 긴장을 푸는 향,탁한 안색 뒤에 숨은 긴장을 풀어주고 맑은 빛이 피부 표면으로 떠오르게 합니다.,patchouli leaf watercolor
