MBTI_CODE,CHARACTER_KO,CHARACTER_EN,CATEGORY,EMOJI,PRESCRIPTION_TITLE,PRESCRIPTION_HIGHLIGHT,MASTER_COMMENT,SKIN_DO_1,SKIN_DO_2,SKIN_DO_3,SKIN_DO_4,SKIN_DONT_1,SKIN_DONT_2,SKIN_DONT_3,SKIN_DONT_4
OSNT,알로에,Aloe,지성·민감성·비색소·탄력형,🌿,진정 레이어링,LDM 쿨링 모드,열과 노폐물이 만나 트러블로 드러나는 타입이에요. 짜기보다는 배출의 통로를 열어주는 것이 먼저입니다.,진정 토너,수분 젤 크림,순한 클렌저,자외선 차단제,자극적인 제품,과도한 루틴,유분기 많은 크림,피부 자주 만지기
OSNW,흰 복숭아,White Peach,지성·민감성·비색소·주름형,🍑,진정 리밸런싱,네롤리 밸런스,번들거림은 피부가 수분을 지키려는 신호예요. 잃어버린 수분을 채워주면 유분도 자연스럽게 가라앉습니다.,진정 성분 세럼,가벼운 수분크림,순한 클렌저,콜라겐 세럼,자극적인 성분,뜨거운 물 세안,유분기 많은 크림,피부 문지르기
OSPT,토마토,Tomato,지성·민감성·색소성·탄력형,🍅,색소 진정,유칼립투스 쿨링,염증이 지나간 흔적이 남아있네요. 열감을 진정시키는 것이 가장 빠른 화이트닝입니다.,순한 미백 에센스,진정 토너,SPF 매일,수분 세럼,강한 미백 제품,유분기 많은 크림,뜨거운 물 세안,과도한 필링
OSPW,딸기,Strawberry,지성·민감성·색소성·주름형,🍓,4중 재건,페퍼민트 디톡스,피부 속 불길이 멜라닌을 태우고 있어요. 기름을 닦지 말고 불을 꺼야 안색이 맑아집니다.,저자극 클렌저,진정+보습 겸용,매일 자외선 차단,순한 BHA,자극 각질 제거,알코올 제품,유분기 많은 크림,여러 제품 동시에
ORNT,청포도,Green Grape,지성·저항성·비색소·탄력형,🍇,딥 클렌징,자몽 순환,지금도 충분히 완벽해 보이지만 막힌 순환을 풀어주면 피부가 한층 더 투명하게 빛날 거예요.,가벼운 수분크림,피지 조절 토너,자외선 차단제,충분한 수분 섭취,과도한 루틴,유분기 많은 제품,세안 후 방치,기본 관리 소홀
ORNW,배,Pear,지성·저항성·비색소·주름형,🍐,수기 리프팅,레몬그라스 활력,장벽이 성벽처럼 단단해요. 튼튼한 게 아니라 잠겨 있는 겁니다. 문부터 여세요.,콜라겐 부스팅,가벼운 수분크림,자외선 차단,항산화 식품,항노화 미루기,유분기 많은 제품,수분 섭취 부족,자외선 차단 생략
ORPT,메추리알,Quail Egg,지성·저항성·색소성·탄력형,🥚,톤업 리셋,베르가못 숨결,모공 속에 갇힌 피지가 길을 잃었네요. 피부 결 사이사이에 숨통을 틔워줘야 합니다.,나이아신아마이드 세럼,가벼운 수분크림,주 1회 각질 관리,SPF 필수,자외선 차단 빼먹기,유분기 많은 크림,톤 관리 무시,과도한 각질 제거
ORPW,아보카도,Avocado,지성·저항성·색소성·주름형,🥑,강력 재생 리모델링,로즈마리 투과,피부가 두꺼워 색소도 뿌리가 깊습니다. 강력한 투과 관리로 닫힌 피부를 깨워야 합니다.,비타민C 세럼,가벼운 수분크림,레티놀 예방,자외선 차단 매일,무거운 유분 크림,자외선 차단 생략,유분기 방치,보습 안 하기
DSNT,두부,Tofu,건성·민감성·비색소·탄력형,🍥,장벽 재건,세라마이드 보충,겉은 촉촉해 보이는데 속은 건조하죠? 깊은 수분을 채워줘야 피부가 진짜 생기를 되찾아요.,순한 보습제,진정 성분,미온수 세안,자외선 차단제,자극적인 성분,뜨거운 물 세안,때수건으로 문지르기,과도한 루틴
DSNW,코코넛,Coconut,건성·민감성·비색소·주름형,🥥,속보습 리셋,라벤더 휴식,투명하지만 너무 얇아요. 작은 자극에도 쉽게 흔들리는 예민한 피부를 먼저 달래야 해요.,수분크림 충분히,저자극 클렌저,수분팩 주 2-3회,항노화 세럼,세안 후 보습 안 하기,알코올 토너,건조한 환경,자극 각질 제거
DSPT,석류알,Pomegranate Seed,건성·민감성·색소성·탄력형,🍑,방어적 미백,로즈 쿨링,민감해서 미백 제품도 못 쓰시죠? 속열을 식혀야 잡티가 비로소 흐려집니다.,순한 미백 에센스,보습+진정 겸용,SPF 필수,항산화 세럼,자극적인 필링,고농축 미백,보습 단계 생략,예민할 때 새 제품
DSPW,라즈베리,Raspberry,건성·민감성·색소성·주름형,🫐,총체적 재건,샌달우드 압착,바람이 불을 만나 수분을 다 말려버렸네요. 기미보다 급한 건 장벽의 휴식입니다.,저자극 클렌저,세라마이드 보습제,매일 자외선 차단,진정 앰플,새 제품 동시에 바꾸기,알코올 토너,뜨거운 물 세안,각질 제거 자주
DRNT,선인장,Cactus,건성·저항성·비색소·탄력형,🌵,영양 저축,일랑일랑 탄력,겉은 맑지만 속은 텅 비어있어요. 탄력이 소진되기 전에 영양을 저축해야 할 때입니다.,가벼운 보습제,수분 충분히 섭취,계절별 보습 조절,자외선 차단제,보습 건너뛰기,세안 후 방치,과도한 루틴,뜨거운 물 세안
DRNW,감자,Potato,건성·저항성·비색소·주름형,🥔,고영양 재생,시나몬 온열,차갑고 단단하게 굳어버린 피부. 따뜻한 온기를 불어넣어야 영양이 비로소 스며듭니다.,리치한 보습 크림,레티놀 예방,콜라겐 부스팅,수분팩 주 2-3회,세안 후 보습 미루기,건조한 환경,수분 섭취 부족,강한 클렌저
DRPT,올리브,Olive,건성·저항성·색소성·탄력형,🫒,미백 리셋,패츌리 순환,안색이 탁한 건 순환의 문제예요. 목과 어깨의 긴장을 풀어야 얼굴 빛이 살아납니다.,나이아신아마이드 미백,세라마이드 보습제,자외선 차단제,항산화 제품,보습 없이 방치,강한 필링,자외선 차단 빼먹기,알코올 토너
DRPW,무화과,Fig,건성·저항성·색소성·주름형,🍇,고보습 + 미백,진저 활력,건조한 땅에 잡티가 자리잡은 상태예요. 깊은 보습 관리가 가장 시급합니다.,매일 SPF 50,비타민C 세럼,리치한 보습 크림,레티놀 예방,자외선 차단 없이 외출,너무 뜨거운 물 세안,보습 단계 생략,각질 제거 너무 자주
